reg,hex,operator,operator_legal,category,permit_no,permit_valid_until,model,type_icao,type_manufacturer,type_name,wing,seats,seats_raw,role,source_file,source_as_on,first_seen,registered_on,msn,year_of_manufacture,owner,lessor
VT-AAT,8001C5,Reliance Transport & Travels,Reliance Transport & Travels Pvt. Ltd.,non-scheduled,#03/2000,2028-09-27,FALCON2000,F2TH,Dassault,Dassault Falcon 2000,FW,10,10,passenger,ns-oper.pdf,2026-08-31,2019-03-31,2010-09-13,,,M/S ORANGE LEASING LIMITED,M/S INVESTEC IRELAND LIMITED
VT-AAZ,801530,Quikjet Cargo,Quikjet Cargo Airlines Pvt. Ltd.,scheduled,S-34,2027-12-11,B737-800 (Freighter),B738,Boeing,Boeing 737-800,FW,,Cargo,cargo,sch-oper.pdf,2026-08-31,2023-01-31,2022-11-02,30643,2002,MAM Aircraft Leasing 30643 Ireland Designated Activity Company,ASL Aviation Holdings DAC
VT-ACD,8003C9,Target Air Services,Target Air Services Pvt. Ltd.,non-scheduled,#14/2023,2028-12-20,BEECH SUPER KING AIR B-300 (350),B350,Beechcraft,Beechcraft King Air 350,FW,9,9,passenger,ns-oper.pdf,2026-08-31,2007-01-11,2018-08-03,FL-465,2005,M/S QUANTUM INVESTMENTS LTD,M/S QUANTUM INVESTMENTS LTD
VT-ACG,800578,Aurea Aviation,Aurea Aviation Private Limited,non-scheduled,#06/2026,2031-03-29,PC-12/45,PC12,Pilatus,Pilatus PC-12,FW,6,6,passenger,ns-oper.pdf,2026-08-31,2010-06-30,,,,,
VT-AEM,8015A5,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2024-01-25,39686,2012,AI FLEET SERVICES IFSC LIMITED,SAME AS OWNER
VT-AEN,8015A8,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2024-02-08,39687,2012,AI FLEET SERVICES IFSC LIMITED,SAME AS OWNER
VT-AEO,80159E,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2024-02-28,39688,2013,AI FLEET SERVICES IFSC LIMITED,SAME AS OWNER
VT-AEP,80159F,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2024-01-08,39689,2013,AI FLEET SERVICES IFSC LIMITED,SAME AS OWNER
VT-AEQ,8015A6,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2024-06-10,2023-11-10,39690,2013,Altitude Aircraft (777) III Limited,Altitude Aircraft (777) III Limited
VT-AER,8015A7,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-200 LR,B772,Boeing,Boeing 777-200LR,FW,238,238,passenger,sch-oper.pdf,2026-08-31,2024-06-10,,,,,
VT-AFJ,80188B,Afcom Holdings,Afcom Holdings Ltd.,non-scheduled,#12/2024,2029-12-11,B737-800 Freighter,B738,Boeing,Boeing 737-800,FW,,Cargo,cargo,ns-oper.pdf,2026-08-31,2026-08-31,,,,,
VT-AFL,801747,Karnavati Aviation,Karnavati Aviation Pvt. Ltd.,non-scheduled,#22/2008,2028-08-06,PC-24,PC24,Pilatus,Pilatus PC-24,FW,6,6,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2024-12-31,545,2024,UDANVAT LEASING IFSC LIMITED,SAME AS OWNER
VT-AFN,80173B,Afcom Holdings,Afcom Holdings Ltd.,non-scheduled,#12/2024,2029-12-11,B737-800 Freighter,B738,Boeing,Boeing 737-800,FW,,Cargo,cargo,ns-oper.pdf,2026-08-31,2025-09-30,2025-01-06,30160,2000,FLIGHT LEASE 737 LIMITED,FLIGHT LEASE 737 LIMITED
VT-AFO,801694,Afcom Holdings,Afcom Holdings Ltd.,non-scheduled,#12/2024,2029-12-11,B737-800 Freighter,B738,Boeing,Boeing 737-800,FW,,Cargo,cargo,ns-oper.pdf,2026-08-31,2025-09-30,2024-05-22,28617,2000,FLIGHT LEASE 737 LTD,SAME AS OWNER
VT-AGH,,Pioneer Flying Academy,Pioneer Flying Academy Pvt. Ltd.,non-scheduled,#09/2015,2027-10-13,CESSNA 172S,C172,Cessna,Cessna 172,FW,3,3/Aerial Work,aerial-work,ns-oper.pdf,2026-08-31,2017-03-07,2015-10-09,172S9109,2002,M/S PIONEER FLYING ACADEMY PVT. LTD.,M/S PIONEER FLYING ACADEMY PVT. LTD.
VT-AGL,8014B9,Karnavati Aviation,Karnavati Aviation Pvt. Ltd.,non-scheduled,#22/2008,2028-08-06,Bombardier BD-700-1A10,GL5T,Bombardier,Bombardier Global 5000/5500/6000/6500,FW,13,13,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2022-04-01,60053,2022,Astraeus Services IFSC Limited,Astraeus Services IFSC Limited
VT-AGP,8004C4,Deccan Charters,Deccan Charters Pvt. Ltd.,non-scheduled,#26/2008,2028-10-06,Hawker 850XP,H25B,Hawker Beechcraft,Hawker 800/850/900,FW,8,8,passenger,ns-oper.pdf,2026-08-31,2009-01-20,,,,,
VT-AHB,800184,Navdurga Aviation,Navdurga Aviation Pvt. Ltd.,non-scheduled,#15/2022,2027-12-27,CESSNA CARAVAN 208B,C208,Cessna,Cessna 208 Grand Caravan,FW,8,8,passenger,ns-oper.pdf,2026-08-31,2025-09-30,,,,,
VT-AHI,800B7E,Reliance Commercial Dealers,Reliance Commercial Dealers Ltd.,non-scheduled,#02/2008,2029-01-14,GLOBAL 6000 BD-700-1A10,GL5T,Bombardier,Bombardier Global 5000/5500/6000/6500,FW,14,14,passenger,ns-oper.pdf,2026-08-31,2015-09-01,,,,,
VT-AHM,801567,Karnavati Aviation,Karnavati Aviation Pvt. Ltd.,non-scheduled,#22/2008,2028-08-06,EMB-135BJ,E35L,Embraer,Embraer Legacy 600/650,FW,13,13,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2023-05-22,14501143,2011,KARNAVATI AVIATION PRIVATE LIMITED,
VT-AII,800B52,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2026-08-31,2016-02-10,,,,,
VT-AIT,800B53,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2026-08-31,2016-02-10,,,,,
VT-AIU,800B54,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2026-08-31,2016-02-10,,,,,
VT-AIV,800B55,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2026-08-31,2016-02-10,,,,,
VT-AIW,800B56,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2026-08-31,2016-02-10,,,,,
VT-AIX,800B9F,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2026-08-31,2017-03-07,,,,,
VT-AIY,800BA0,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2026-08-31,2017-03-07,,,,,
VT-AIZ,800BA1,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2026-08-31,2017-03-07,2016-07-18,1279,2015,M/S ELIX ASSETS 7 LIMITED,M/S ELIX ASSETS 7 LIMITED
VT-AJM,80074C,Freedom Charter Services,Freedom Charter Services Pvt. Ltd.,non-scheduled,#01/2013,2029-01-28,HAWKER BEECHCRAFT 900XP,H25B,Hawker Beechcraft,Hawker 800/850/900,FW,9,9,passenger,ns-oper.pdf,2026-08-31,2013-05-02,2012-12-21,,,,
VT-AKI,801844,Reliance Commercial Dealers,Reliance Commercial Dealers Ltd.,non-scheduled,#02/2008,2029-01-14,H160-B,H160,Airbus Helicopters,Airbus H160,RW,6,6,passenger,ns-oper.pdf,2026-08-31,2026-05-31,2025-12-16,1077,2025,Reliance International Leasing IFSC private Limited,Reliance International Leasing IFSC private Limited
VT-AKU,800460,Reliance Commercial Dealers,Reliance Commercial Dealers Ltd.,non-scheduled,#02/2008,2029-01-14,FALCON 900EX,F900,Dassault,Dassault Falcon 900,FW,14,14,passenger,ns-oper.pdf,2026-08-31,2009-04-30,2011-01-13,,,M/S CORP AIRCRAFT LEASING COMPANY LTD,M/S INVESTEC INTERNATIONAL LIMITED
VT-AKV,80169F,Reliance Commercial Dealers,Reliance Commercial Dealers Ltd.,non-scheduled,#02/2008,2029-01-14,B737-9,B39M,Boeing,Boeing 737-9,FW,19,19,passenger,ns-oper.pdf,2026-08-31,2025-09-30,2024-09-05,65334,2022,RELIANCE INTERNATIONAL LEASING IFSC PRIVATE LIMITED,SAME AS OWNER
VT-ALJ,8003E2,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2007-11-13,2011-02-23,,,,M/S LEINSTAR AVIATION LEASING LTD
VT-ALK,8003E3,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2007-11-13,2011-02-23,,,M/S GOLDEN STATE AIRCRAFT LLC,M/S LEINSTAR AVIATION LEASING LTD
VT-ALL,8003E4,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2008-01-31,2011-02-23,,,M/S GOLDEN STATE AIRCRAFT LLC,M/S LEINSTAR AVIATION LEASING LTD
VT-ALM,800462,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2009-01-20,2011-02-23,,,M/S FOUR LIONS AIRCRAFT LLC,M/S ULSTRE AVIATION TH LEASING LTD
VT-ALN,800463,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2009-01-20,2011-02-23,,,M/S FOUR LIONS AIRCRAFT LLC,M/S ULSTRE AVIATION LEASING LTD
VT-ALO,8004DD,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALP,8004DE,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALQ,8004DF,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALR,8004E0,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALS,800582,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2010-06-30,2010-05-03,,,NATIONAL AVIATION COMPANY OF INDIA LIMITED,
VT-ALT,800583,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2010-06-30,2010-05-26,,,,
VT-ALU,800584,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2010-10-07,2016-08-10,36319,2010,JEN KIM AIRCRAFT LLC,BOYNE AVIATION LEASING LIMITED
VT-ALX,800C3E,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2026-08-31,2018-05-01,2018-03-12,36322,2018,AIR INDIA LIMITED,-
