reg,hex,operator,operator_legal,category,permit_no,permit_valid_until,model,type_icao,type_manufacturer,type_name,wing,seats,seats_raw,role,source_file,source_as_on,first_seen,registered_on,msn,year_of_manufacture,owner,lessor
VT-AAZ,801530,Quikjet Cargo,Quikjet Cargo Airlines Pvt. Ltd.,scheduled,S-34,2027-12-11,B737-800 (Freighter),B738,Boeing,Boeing 737-800,FW,,Cargo,cargo,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-AEE,801538,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-200 LR,B772,Boeing,Boeing 777-200LR,FW,238,238,passenger,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-AEF,80153C,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-200 LR,B772,Boeing,Boeing 777-200LR,FW,238,238,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-AEG,80153F,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-200 LR,B772,Boeing,Boeing 777-200LR,FW,238,238,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-AEH,80153D,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-200 LR,B772,Boeing,Boeing 777-200LR,FW,238,238,passenger,sch-oper.pdf,2024-06-10,2023-06-15,,,,,
VT-AEI,80153B,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-200 LR,B772,Boeing,Boeing 777-200LR,FW,238,238,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-AEM,8015A5,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-AEN,8015A8,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-AEO,80159E,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-AEP,80159F,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-AEQ,8015A6,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-AER,8015A7,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-200 LR,B772,Boeing,Boeing 777-200LR,FW,238,238,passenger,sch-oper.pdf,2024-06-10,2024-06-10,,,,,
VT-AII,800B52,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-AIT,800B53,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-AIU,800B54,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-AIV,800B55,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-AIW,800B56,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-AIX,800B9F,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-AIY,800BA0,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-AIZ,800BA1,Alliance Air,Alliance Air Aviation Ltd.,scheduled,S-8,2028-04-30,ATR72-600,AT76,ATR,ATR 72-600,FW,70,70,passenger,sch-oper.pdf,2024-06-10,2017-03-07,,,,,
VT-ALF,8004DA,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-200 LR,B772,Boeing,Boeing 777-200LR,FW,238,238,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALG,8004DB,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-200 LR,B772,Boeing,Boeing 777-200LR,FW,238,238,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALH,8004DC,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-200 LR,B772,Boeing,Boeing 777-200LR,FW,238,238,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,,M/S MUNSTER AVIATION LEASING LTD
VT-ALJ,8003E2,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2007-11-13,2011-02-23,,,,M/S LEINSTAR AVIATION LEASING LTD
VT-ALK,8003E3,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2007-11-13,2011-02-23,,,M/S GOLDEN STATE AIRCRAFT LLC,M/S LEINSTAR AVIATION LEASING LTD
VT-ALL,8003E4,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2008-01-31,2011-02-23,,,M/S GOLDEN STATE AIRCRAFT LLC,M/S LEINSTAR AVIATION LEASING LTD
VT-ALM,800462,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2009-01-20,2011-02-23,,,M/S FOUR LIONS AIRCRAFT LLC,M/S ULSTRE AVIATION TH LEASING LTD
VT-ALN,800463,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2009-01-20,2011-02-23,,,M/S FOUR LIONS AIRCRAFT LLC,M/S ULSTRE AVIATION LEASING LTD
VT-ALO,8004DD,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALP,8004DE,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALQ,8004DF,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALR,8004E0,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2011-02-23,,,M/S KAI TING AIRCRAFT LLC,M/S MUNSTER AVIATION TH LEASING LTD
VT-ALS,800582,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2010-05-03,,,NATIONAL AVIATION COMPANY OF INDIA LIMITED,
VT-ALT,800583,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-06-30,2010-05-26,,,,
VT-ALU,800584,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2010-10-07,2010-07-07,,,,
VT-ALX,800C3E,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B777-300 ER,B77W,Boeing,Boeing 777-300ER,FW,342,342,passenger,sch-oper.pdf,2024-06-10,2018-05-01,,,,,
VT-AMD,,Air India Express,AIX Connect Pvt. Ltd.,scheduled,S-26,2029-05-06,A320-214,A320,Airbus,Airbus A320,FW,180,180,passenger,sch-oper.pdf,2024-06-10,2023-01-31,,,,,
VT-ANA,8005EB,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-ANB,8005EC,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-ANC,8005ED,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2016-02-10,,,,,
VT-AND,8005EE,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2006-01-20,2012-05-25,,,,
VT-ANE,8005EF,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2014-06-12,,,,,
VT-ANG,8005F0,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-12-05,,,,,
VT-ANH,8005F1,Air India,Air India Ltd.,scheduled,S-9,2028-06-30,B787-8,B788,Boeing,Boeing 787-8,FW,256,256,passenger,sch-oper.pdf,2024-06-10,2013-05-02,,,,,
